"id","title","framework","description"
25,"27001:2022","27001:2022","ISMS"
26,"27001:2022-5","27001:2022","Organizational controls"
27,"27001:2022-6","27001:2022","Personal controls"
28,"27001:2022-7","27001:2022","Physical controls"
29,"27001:2022-8","27001:2022","Technical controls"
